feature,protocol,accuracy,precision,recall,f1,roc_auc,pr_auc
ACK Flag Cnt,cross_day,0.8584,0.8113,0.6199,0.6782,0.7665,0.7005
ACK Flag Cnt,same_day,0.9997,0.9998,0.9635,0.9791,0.9993,0.9828
Active Max,cross_day,0.8389,0.6918,0.5567,0.6082,0.7771,0.6992
Active Max,same_day,0.9976,0.9971,0.9208,0.9542,0.9747,0.9292
Active Mean,cross_day,0.8355,0.6882,0.568,0.614,0.7913,0.7108
Active Mean,same_day,0.9973,0.9988,0.9199,0.9543,0.9748,0.9546
Active Min,cross_day,0.8356,0.6937,0.5695,0.6171,0.7937,0.6992
Active Min,same_day,0.9976,0.9936,0.9211,0.9532,0.9747,0.9292
Active Std,cross_day,0.8532,0.7975,0.5972,0.6645,0.7986,0.7045
Active Std,same_day,0.9982,0.9997,0.9333,0.9621,0.982,0.9091
Bwd Blk Rate Avg,cross_day,0.8573,0.8116,0.5977,0.6657,0.7697,0.6943
Bwd Blk Rate Avg,same_day,0.9997,1.0,0.9634,0.9791,0.9999,0.9836
Bwd Byts/b Avg,cross_day,0.8573,0.8116,0.5977,0.6657,0.7697,0.6943
Bwd Byts/b Avg,same_day,0.9997,1.0,0.9634,0.9791,0.9999,0.9836
Bwd IAT Max,cross_day,0.8312,0.765,0.4012,0.5045,0.7293,0.6348
Bwd IAT Max,same_day,0.969,0.8568,0.8088,0.8126,0.8896,0.8168
Bwd IAT Mean,cross_day,0.8427,0.7962,0.4236,0.5345,0.7416,0.6279
Bwd IAT Mean,same_day,0.9861,0.9799,0.8108,0.8749,0.9059,0.8634
Bwd IAT Min,cross_day,0.8362,0.6953,0.5445,0.6016,0.7329,0.6962
Bwd IAT Min,same_day,0.995,0.9972,0.8798,0.9291,0.9458,0.9178
Bwd IAT Std,cross_day,0.8309,0.6939,0.4011,0.4924,0.7185,0.6085
Bwd IAT Std,same_day,0.9915,0.8937,0.8354,0.8505,0.9168,0.8527
Bwd IAT Tot,cross_day,0.8256,0.7257,0.3983,0.4957,0.6829,0.5393
Bwd IAT Tot,same_day,0.9709,0.8898,0.8145,0.8383,0.8698,0.8258
Bwd PSH Flags,cross_day,0.8573,0.8116,0.5977,0.6657,0.7697,0.6943
Bwd PSH Flags,same_day,0.9997,1.0,0.9634,0.9791,0.9999,0.9836
Bwd Pkt Len Max,cross_day,0.8362,0.6745,0.5641,0.603,0.7885,0.6899
Bwd Pkt Len Max,same_day,0.9997,0.9702,0.9671,0.9686,0.9986,0.9764
Bwd Pkt Len Mean,cross_day,0.8356,0.6834,0.5606,0.6084,0.8274,0.7569
Bwd Pkt Len Mean,same_day,0.9967,0.9922,0.9562,0.9706,0.9912,0.9677
Bwd Pkt Len Min,cross_day,0.8573,0.812,0.5977,0.6659,0.8438,0.7404
Bwd Pkt Len Min,same_day,0.9997,0.9974,0.9454,0.9684,0.9989,0.9779
Bwd Pkt Len Std,cross_day,0.836,0.6886,0.5752,0.6178,0.8884,0.7423
Bwd Pkt Len Std,same_day,0.9997,0.9973,0.944,0.9645,0.9871,0.9582
Bwd Pkts/b Avg,cross_day,0.8573,0.8116,0.5977,0.6657,0.7697,0.6943
Bwd Pkts/b Avg,same_day,0.9997,1.0,0.9634,0.9791,0.9999,0.9836
Bwd Pkts/s,cross_day,0.7929,0.3926,0.4791,0.4088,0.7817,0.5048
Bwd Pkts/s,same_day,0.9991,0.9687,0.9213,0.9424,0.9633,0.9411
Bwd Seg Size Avg,cross_day,0.8577,0.7991,0.5577,0.6329,0.7957,0.7153
Bwd Seg Size Avg,same_day,0.9967,0.9925,0.915,0.9364,0.966,0.9278
Bwd URG Flags,cross_day,0.8573,0.8116,0.5977,0.6657,0.7697,0.6943
Bwd URG Flags,same_day,0.9997,1.0,0.9634,0.9791,0.9999,0.9836
CWE Flag Count,cross_day,0.8573,0.8116,0.5977,0.6657,0.7697,0.6943
CWE Flag Count,same_day,0.9997,1.0,0.9634,0.9791,0.9999,0.9836
Down/Up Ratio,cross_day,0.8583,0.8115,0.6192,0.678,0.7805,0.731
Down/Up Ratio,same_day,0.9997,0.9998,0.9635,0.9791,0.9999,0.9803
Dst Port,cross_day,0.8399,0.678,0.5761,0.6148,0.6913,0.6776
Dst Port,same_day,0.9995,0.8975,0.9245,0.9097,0.9461,0.9205
ECE Flag Cnt,cross_day,0.8585,0.8123,0.6218,0.6795,0.7401,0.6916
ECE Flag Cnt,same_day,0.9997,0.9998,0.9635,0.9791,0.9999,0.9824
FIN Flag Cnt,cross_day,0.8573,0.8124,0.5976,0.6661,0.7601,0.6981
FIN Flag Cnt,same_day,0.9997,1.0,0.9634,0.9791,0.9999,0.9834
Flow Byts/s,cross_day,0.8384,0.6769,0.5134,0.574,0.834,0.6468
Flow Byts/s,same_day,0.9784,0.8651,0.7671,0.7466,0.8926,0.7893
Flow Duration,cross_day,0.832,0.6534,0.266,0.3225,0.6544,0.5103
Flow Duration,same_day,0.9674,0.9796,0.6496,0.7282,0.8103,0.7091
Flow IAT Max,cross_day,0.8288,0.6317,0.321,0.3874,0.6434,0.5372
Flow IAT Max,same_day,0.8994,0.9688,0.5696,0.6709,0.8045,0.7447
Flow IAT Mean,cross_day,0.8106,0.562,0.3248,0.3921,0.6727,0.5512
Flow IAT Mean,same_day,0.9408,0.9169,0.598,0.7,0.8216,0.7394
Flow IAT Min,cross_day,0.7656,0.4222,0.5665,0.3961,0.6995,0.6195
Flow IAT Min,same_day,0.9828,0.9962,0.8137,0.8831,0.9169,0.875
Flow IAT Std,cross_day,0.8355,0.7704,0.3919,0.4982,0.737,0.621
Flow IAT Std,same_day,0.9646,0.9959,0.7314,0.8272,0.8582,0.8223
Flow Pkts/s,cross_day,0.7884,0.5441,0.3705,0.4396,0.7601,0.5987
Flow Pkts/s,same_day,0.9505,0.9766,0.7688,0.8301,0.8452,0.8186
Fwd Act Data Pkts,cross_day,0.8571,0.7902,0.5988,0.6564,0.7585,0.6179
Fwd Act Data Pkts,same_day,0.9992,1.0,0.9618,0.9781,0.9991,0.9799
Fwd Blk Rate Avg,cross_day,0.8573,0.8116,0.5977,0.6657,0.7697,0.6943
Fwd Blk Rate Avg,same_day,0.9997,1.0,0.9634,0.9791,0.9999,0.9836
Fwd Byts/b Avg,cross_day,0.8573,0.8116,0.5977,0.6657,0.7697,0.6943
Fwd Byts/b Avg,same_day,0.9997,1.0,0.9634,0.9791,0.9999,0.9836
Fwd IAT Max,cross_day,0.8276,0.5261,0.3653,0.3971,0.6613,0.5157
Fwd IAT Max,same_day,0.9572,0.9662,0.6825,0.7624,0.8333,0.7656
Fwd IAT Mean,cross_day,0.8068,0.6692,0.3318,0.4288,0.6783,0.53
Fwd IAT Mean,same_day,0.9706,0.9265,0.7283,0.7874,0.8627,0.7909
Fwd IAT Min,cross_day,0.8364,0.6285,0.566,0.5734,0.8173,0.7254
Fwd IAT Min,same_day,0.9965,0.9963,0.8452,0.9025,0.9145,0.877
Fwd IAT Std,cross_day,0.8113,0.7464,0.4082,0.5059,0.6824,0.6324
Fwd IAT Std,same_day,0.987,0.9999,0.7971,0.8739,0.9074,0.8641
Fwd IAT Tot,cross_day,0.8055,0.7,0.2911,0.391,0.7013,0.6262
Fwd IAT Tot,same_day,0.9505,0.9941,0.6374,0.7516,0.8273,0.7663
Fwd PSH Flags,cross_day,0.8572,0.8124,0.5969,0.6656,0.7686,0.7006
Fwd PSH Flags,same_day,0.9997,1.0,0.9634,0.9791,0.9998,0.9824
Fwd Pkt Len Max,cross_day,0.858,0.8051,0.6127,0.6709,0.8662,0.7853
Fwd Pkt Len Max,same_day,0.9997,0.9965,0.9627,0.9773,0.9943,0.9753
Fwd Pkt Len Mean,cross_day,0.8362,0.6898,0.5881,0.6253,0.7899,0.7666
Fwd Pkt Len Mean,same_day,0.9997,0.9973,0.9621,0.9771,0.9995,0.9761
Fwd Pkt Len Min,cross_day,0.8358,0.6927,0.5787,0.6217,0.7838,0.7184
Fwd Pkt Len Min,same_day,0.9997,0.9988,0.9612,0.9774,0.999,0.9728
Fwd Pkt Len Std,cross_day,0.8583,0.8019,0.6196,0.6738,0.915,0.808
Fwd Pkt Len Std,same_day,0.9997,0.9974,0.9621,0.9772,0.9957,0.9767
Fwd Pkts/b Avg,cross_day,0.8573,0.8116,0.5977,0.6657,0.7697,0.6943
Fwd Pkts/b Avg,same_day,0.9997,1.0,0.9634,0.9791,0.9999,0.9836
Fwd Pkts/s,cross_day,0.7895,0.6304,0.3711,0.4428,0.7478,0.5934
Fwd Pkts/s,same_day,0.9779,0.9702,0.8915,0.9142,0.9285,0.9072
Fwd Seg Size Avg,cross_day,0.8362,0.6898,0.5881,0.6253,0.7899,0.7664
Fwd Seg Size Avg,same_day,0.9997,0.9973,0.9621,0.9771,0.9995,0.9761
Fwd URG Flags,cross_day,0.8573,0.8116,0.5977,0.6657,0.7697,0.6943
Fwd URG Flags,same_day,0.9997,1.0,0.9634,0.9791,0.9999,0.9836
Idle Max,cross_day,0.8317,0.693,0.5085,0.5694,0.7275,0.6461
Idle Max,same_day,0.9839,0.9995,0.8644,0.9212,0.9039,0.8791
Idle Mean,cross_day,0.8313,0.6927,0.5083,0.5689,0.7179,0.6467
Idle Mean,same_day,0.9873,0.9846,0.887,0.9256,0.9229,0.8878
Idle Min,cross_day,0.8315,0.6927,0.5085,0.569,0.6785,0.6318
Idle Min,same_day,0.982,0.9904,0.8675,0.918,0.9055,0.8961
Idle Std,cross_day,0.8394,0.6873,0.5642,0.6111,0.7962,0.7576
Idle Std,same_day,0.9979,0.9948,0.9317,0.9594,0.9816,0.9366
Init Bwd Win Byts,cross_day,0.8748,0.7137,0.6321,0.6214,0.8631,0.7164
Init Bwd Win Byts,same_day,0.9904,0.8837,0.9187,0.8832,0.9524,0.9308
Init Fwd Win Byts,cross_day,0.836,0.6481,0.5017,0.5357,0.8992,0.734
Init Fwd Win Byts,same_day,0.9996,0.9191,0.8448,0.8711,0.906,0.8464
None,cross_day,0.8578,0.8109,0.6101,0.6728,0.7649,0.6941
None,same_day,0.9997,0.9997,0.9637,0.9791,0.9999,0.9837
PSH Flag Cnt,cross_day,0.8398,0.6931,0.5754,0.6202,0.768,0.7164
PSH Flag Cnt,same_day,0.9997,0.9998,0.9635,0.9791,0.9999,0.9806
Pkt Len Max,cross_day,0.8575,0.7813,0.6122,0.6588,0.7825,0.7442
Pkt Len Max,same_day,0.9997,0.9982,0.9333,0.9561,0.9754,0.9468
Pkt Len Mean,cross_day,0.8362,0.6837,0.5879,0.6226,0.8104,0.7848
Pkt Len Mean,same_day,0.9997,0.9973,0.9081,0.9319,0.9704,0.9256
Pkt Len Min,cross_day,0.8362,0.6927,0.5787,0.6217,0.7821,0.7193
Pkt Len Min,same_day,0.9997,0.9988,0.9612,0.9774,0.999,0.9807
Pkt Len Std,cross_day,0.858,0.795,0.6202,0.6719,0.8279,0.7234
Pkt Len Std,same_day,0.9996,0.9964,0.9635,0.9777,0.9988,0.9799
Pkt Len Var,cross_day,0.8326,0.705,0.3536,0.4484,0.6994,0.6057
Pkt Len Var,same_day,0.9769,0.9671,0.8358,0.8718,0.8503,0.8065
Pkt Size Avg,cross_day,0.8362,0.6713,0.512,0.5707,0.7814,0.711
Pkt Size Avg,same_day,0.9997,0.9961,0.9516,0.9707,0.9914,0.9663
Protocol,cross_day,0.8572,0.8134,0.5997,0.6676,0.8072,0.731
Protocol,same_day,0.9997,1.0,0.9634,0.9791,0.9999,0.9808
RST Flag Cnt,cross_day,0.8585,0.8123,0.6218,0.6795,0.7401,0.6915
RST Flag Cnt,same_day,0.9997,0.9998,0.9635,0.9791,0.9999,0.9824
SYN Flag Cnt,cross_day,0.8572,0.8124,0.5969,0.6656,0.7686,0.7006
SYN Flag Cnt,same_day,0.9997,1.0,0.9634,0.9791,0.9998,0.9824
Subflow Bwd Byts,cross_day,0.8049,0.5553,0.5556,0.5135,0.7303,0.6398
Subflow Bwd Byts,same_day,0.9996,0.9529,0.9071,0.9266,0.9455,0.9126
Subflow Bwd Pkts,cross_day,0.8583,0.8115,0.6193,0.678,0.7873,0.7069
Subflow Bwd Pkts,same_day,0.9997,0.9974,0.9629,0.9777,0.9982,0.9786
Subflow Fwd Byts,cross_day,0.8405,0.5527,0.531,0.4275,0.8697,0.674
Subflow Fwd Byts,same_day,0.9991,0.9338,0.9664,0.9465,0.9884,0.968
Subflow Fwd Pkts,cross_day,0.8343,0.6515,0.5132,0.5657,0.6945,0.5738
Subflow Fwd Pkts,same_day,0.9997,0.9998,0.9627,0.9785,0.9997,0.9794
Tot Bwd Pkts,cross_day,0.8583,0.8115,0.6193,0.678,0.7873,0.7069
Tot Bwd Pkts,same_day,0.9997,0.9974,0.9629,0.9777,0.9982,0.9786
Tot Fwd Pkts,cross_day,0.8343,0.6515,0.5132,0.5657,0.6945,0.5738
Tot Fwd Pkts,same_day,0.9997,0.9998,0.9627,0.9785,0.9997,0.9794
TotLen Bwd Pkts,cross_day,0.8049,0.5408,0.5569,0.5103,0.7307,0.6405
TotLen Bwd Pkts,same_day,0.9993,0.9517,0.9073,0.9261,0.9455,0.9124
TotLen Fwd Pkts,cross_day,0.8405,0.5527,0.531,0.4275,0.8697,0.674
TotLen Fwd Pkts,same_day,0.9991,0.9338,0.9664,0.9465,0.9884,0.968
URG Flag Cnt,cross_day,0.8584,0.8124,0.6199,0.6787,0.8087,0.7397
URG Flag Cnt,same_day,0.9997,1.0,0.9634,0.9791,0.9999,0.9838
