meta_model,base_combo,include_meta,accuracy,f1,precision,recall,file,sampling
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.9900646404573966,0.986364233480755,0.9872115140200023,0.985518406062144,02-14-2018.csv,none
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.9960118177815497,0.9945160526107977,0.9972636487616031,0.9917835548594279,02-14-2018.csv,none
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.49570871593294746,0.0013521027092600081,0.0024324262883902792,0.000936272236465616,02-14-2018.csv,none
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.9964106360033947,0.9950689686912385,0.9968998103000071,0.9932448395649397,02-14-2018.csv,none
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.9890979050876443,0.9849449479439742,0.9919331937098435,0.9780544787938713,02-14-2018.csv,smote
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.9750914091364469,0.9669716930444678,0.9360553689900892,1.0,02-14-2018.csv,smote
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.49570871593294746,0.0013521027092600081,0.0024324262883902792,0.000936272236465616,02-14-2018.csv,smote
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.9750914091364469,0.9669716930444678,0.9360553689900892,1.0,02-14-2018.csv,smote
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.9892287174644094,0.985122903501582,0.9922942393224612,0.9780544787938713,02-14-2018.csv,class_weight
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.9772131220766624,0.9696990267371511,0.9412036007544125,0.9999737493765477,02-14-2018.csv,class_weight
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.49570871593294746,0.0013521027092600081,0.0024324262883902792,0.000936272236465616,02-14-2018.csv,class_weight
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.9772131220766624,0.9696990267371511,0.9412036007544125,0.9999737493765477,02-14-2018.csv,class_weight
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.9998782695049092,0.9987921169739351,1.0,0.997587148390374,02-15-2018.csv,none
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.9999103038457227,0.9991103768189616,0.999872813990461,0.9983491015302559,02-15-2018.csv,none
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.951115595918825,0.06092307692307692,0.9880239520958084,0.03143056702012826,02-15-2018.csv,none
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.9999103038457227,0.9991103202846975,0.9999363989060612,0.9982856054352657,02-15-2018.csv,none
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.9998782695049092,0.9987921169739351,1.0,0.997587148390374,02-15-2018.csv,smote
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.9998782695049092,0.9987921169739351,1.0,0.997587148390374,02-15-2018.csv,smote
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.3960021142664937,0.12077576277588402,0.06517428459269847,0.8222744301225474,02-15-2018.csv,smote
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.9998782695049092,0.9987921169739351,1.0,0.997587148390374,02-15-2018.csv,smote
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.9998782695049092,0.9987921169739351,1.0,0.997587148390374,02-15-2018.csv,class_weight
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.9998782695049092,0.9987921169739351,1.0,0.997587148390374,02-15-2018.csv,class_weight
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.9525699549917511,0.11879538150220212,0.9477682811016145,0.0633691028001778,02-15-2018.csv,class_weight
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.9998782695049092,0.9987921169739351,1.0,0.997587148390374,02-15-2018.csv,class_weight
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.9986457833316909,0.9988210027565287,0.9981524811514357,0.9994904204585108,02-16-2018.csv,none
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.9986457833316909,0.9988216028414308,0.997645979653749,1.0,02-16-2018.csv,none
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.9923356422833491,0.993334605038718,0.9915883826954708,0.995086988551077,02-16-2018.csv,none
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.9986457833316909,0.9988213615763873,0.9978495574732024,0.9997950604017924,02-16-2018.csv,none
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.9986457833316909,0.9988210027565287,0.9981524811514357,0.9994904204585108,02-16-2018.csv,smote
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.9986457833316909,0.9988216028414308,0.997645979653749,1.0,02-16-2018.csv,smote
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.9918238373922746,0.9928855547994844,0.9916895517109909,0.9940844461922776,02-16-2018.csv,smote
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.9986457833316909,0.9988213420100269,0.9978660710830518,0.9997784436776134,02-16-2018.csv,smote
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.9986457833316909,0.9988210027565287,0.9981524811514357,0.9994904204585108,02-16-2018.csv,class_weight
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.9986457833316909,0.9988216028414308,0.997645979653749,1.0,02-16-2018.csv,class_weight
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.9986267098574894,0.9988050255315147,0.9976129035823024,1.0,02-16-2018.csv,class_weight
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.9986457833316909,0.9988213746202669,0.9978385490085518,0.9998061382179118,02-16-2018.csv,class_weight
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.9999936421752662,0.9999951532541052,0.999990306555192,1.0,02-21-2018.csv,none
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.9999936421752662,0.9999951532541052,0.999990306555192,1.0,02-21-2018.csv,none
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.9999936421752662,0.9999951532541052,0.999990306555192,1.0,02-21-2018.csv,none
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.9999936421752662,0.9999951532541052,0.999990306555192,1.0,02-21-2018.csv,none
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.9999936421752662,0.9999951532541052,0.999990306555192,1.0,02-21-2018.csv,smote
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.9999936421752662,0.9999951532541052,0.999990306555192,1.0,02-21-2018.csv,smote
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.9999904632628992,0.999992729898776,0.9999854599032599,1.0,02-21-2018.csv,smote
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.9999936421752662,0.9999951532541052,0.999990306555192,1.0,02-21-2018.csv,smote
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.9999904632628992,0.999992729898776,0.9999854599032599,1.0,02-21-2018.csv,class_weight
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.9999936421752662,0.9999951532541052,0.999990306555192,1.0,02-21-2018.csv,class_weight
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.9999904632628992,0.999992729898776,0.9999854599032599,1.0,02-21-2018.csv,class_weight
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.9999936421752662,0.9999951532541052,0.999990306555192,1.0,02-21-2018.csv,class_weight
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.9998338074083544,0.6867469879518072,1.0,0.5229357798165137,02-22-2018.csv,none
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.9998657675221324,0.7666666666666667,0.971830985915493,0.6330275229357798,02-22-2018.csv,none
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.6869091373965291,0.0008771124641760753,0.00043904431284459873,0.3944954128440367,02-22-2018.csv,none
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.9998657675221324,0.7666666666666667,0.971830985915493,0.6330275229357798,02-22-2018.csv,none
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.9998657675221324,0.7613636363636364,1.0,0.6146788990825688,02-22-2018.csv,smote
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.9996516347598198,0.0,0.0,0.0,02-22-2018.csv,smote
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.6736680622583017,0.0008611073057126641,0.000431013371210266,0.4036697247706422,02-22-2018.csv,smote
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.9996516347598198,0.0,0.0,0.0,02-22-2018.csv,smote
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.9996516347598198,0.0,0.0,0.0,02-22-2018.csv,class_weight
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.9998657675221324,0.7613636363636364,1.0,0.6146788990825688,02-22-2018.csv,class_weight
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.6869091373965291,0.0008771124641760753,0.00043904431284459873,0.3944954128440367,02-22-2018.csv,class_weight
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.9998657675221324,0.7613636363636364,1.0,0.6146788990825688,02-22-2018.csv,class_weight
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.9998401846187285,0.8275862068965517,1.0,0.7058823529411765,02-23-2018.csv,none
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.9998497735416048,0.8395904436860068,1.0,0.7235294117647059,02-23-2018.csv,none
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.9994566277036767,0.0,0.0,0.0,02-23-2018.csv,none
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.9998497735416048,0.8406779661016949,0.992,0.7294117647058823,02-23-2018.csv,none
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.9998465772339793,0.8356164383561644,1.0,0.7176470588235294,02-23-2018.csv,smote
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.9994566277036767,0.0,0.0,0.0,02-23-2018.csv,smote
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.3549915138032545,0.001009890991178305,0.0005053708034404851,0.6,02-23-2018.csv,smote
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.9996707803145806,0.5654008438818565,1.0,0.3941176470588235,02-23-2018.csv,smote
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.99962922831545,0.48214285714285715,1.0,0.3176470588235294,02-23-2018.csv,class_weight
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.9998497735416048,0.8395904436860068,1.0,0.7235294117647059,02-23-2018.csv,class_weight
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.9994566277036767,0.0,0.0,0.0,02-23-2018.csv,class_weight
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.9998497735416048,0.8395904436860068,1.0,0.7235294117647059,02-23-2018.csv,class_weight
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.9456365923183813,0.7469836400817996,0.7834736446994477,0.7137413902593913,02-28-2018.csv,none
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.9441481619807658,0.7056473789330477,0.8659420289855072,0.5954276781788872,02-28-2018.csv,none
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.8875658396998973,0.0,0.0,0.0,02-28-2018.csv,none
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.9459935959048943,0.7203117444605626,0.8621816696173226,0.6185335352449807,02-28-2018.csv,none
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.9286871605033201,0.5355890979326132,1.0,0.36573689609691756,02-28-2018.csv,smote
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.9458617791960279,0.7198840546761772,0.8605788830004076,0.6187289336134043,02-28-2018.csv,smote
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.46967941077931136,0.18553883527903367,0.112131809422824,0.5372478139807533,02-28-2018.csv,smote
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.9458727639217668,0.6952595936794582,0.9472531176272329,0.5491671144545943,02-28-2018.csv,smote
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.9452960658204766,0.6785230133625977,1.0,0.5134580626251771,02-28-2018.csv,class_weight
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.9458343173816808,0.6826898326898327,1.0,0.5182453226515559,02-28-2018.csv,class_weight
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.8875658396998973,0.0,0.0,0.0,02-28-2018.csv,class_weight
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.9458123479302031,0.6825202728793924,1.0,0.5180499242831322,02-28-2018.csv,class_weight
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.9291046671068001,0.8665545061751998,0.9218222493390279,0.8175390498178277,03-01-2018.csv,none
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.9202782997308415,0.8590312326011602,0.855390228199442,0.8627033656794488,03-01-2018.csv,none
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.7184398963993702,0.0,0.0,0.0,03-01-2018.csv,none
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.9300289472347774,0.8645577335194542,0.9500907441016334,0.7931532051513294,03-01-2018.csv,none
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.9292163932761159,0.8605893296525235,0.9659601221483743,0.7759460336928682,03-01-2018.csv,smote
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.8874511198009243,0.7629681918329804,0.9372503678789152,0.6433389848851051,03-01-2018.csv,smote
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.3987303844395917,0.4817104134199513,0.31804571256806596,0.9923884419753977,03-01-2018.csv,smote
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.9178000101569245,0.8335081980703162,0.9698391420911529,0.7307817178312471,03-01-2018.csv,smote
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.9273576760956782,0.8541479729178563,0.9825005864414731,0.7554561523754554,03-01-2018.csv,class_weight
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.8887918338327154,0.7540600642422337,0.9992260983450411,0.6054976371703763,03-01-2018.csv,class_weight
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.7184398963993702,0.0,0.0,0.0,03-01-2018.csv,class_weight
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.9019044233406125,0.789805867502394,0.9955011795687716,0.654557916381083,03-01-2018.csv,class_weight
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.9990170986539357,0.9982085315775392,0.996979167876936,0.9994409308501345,03-02-2018.csv,none
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.999029863606482,0.9982321675719055,0.9967946112304744,0.9996738763292451,03-02-2018.csv,none
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.9990139074157992,0.9982026837595901,0.996990681569958,0.9994176363022235,03-02-2018.csv,none
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.999029863606482,0.9982321881323998,0.9967830722240932,0.9996855236032006,03-02-2018.csv,none
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.9990202898920724,0.9982143791914104,0.996967654986523,0.9994642253980456,03-02-2018.csv,smote
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.999029863606482,0.9982319208086636,0.9969331211300984,0.9995341090417788,03-02-2018.csv,smote
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.9990202898920724,0.9982151889167301,0.9965177016831108,0.9999184690823113,03-02-2018.csv,smote
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.999029863606482,0.9982319619406544,0.9969100307835279,0.9995574035896898,03-02-2018.csv,smote
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.9990043337013894,0.9981850968530045,0.9970483306799298,0.9993244581105792,03-02-2018.csv,class_weight
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.9988926403666094,0.9979805504309517,0.9973130786767784,0.9986489162211585,03-02-2018.csv,class_weight
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.9989468914149312,0.998079854767197,0.9972210917969886,0.9989400980700467,03-02-2018.csv,class_weight
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.9989245527479752,0.9980389076075254,0.9972902565533924,0.9987886835086248,03-02-2018.csv,class_weight
